0.0319948	12.2815	3.20039	11.6378	9.63405
0.0329948	12.2816	3.20054	11.638	9.63388
0.0339948	12.2817	3.20069	11.6382	9.6337
0.0349948	12.2818	3.20083	11.6384	9.63353
0.0359948	12.2819	3.20097	11.6385	9.63335
0.0369948	12.282	3.20111	11.6387	9.63318
0.0379948	12.2821	3.20125	11.6389	9.63301
0.0389948	12.2822	3.20138	11.639	9.63283
0.0399948	12.2822	3.20151	11.6392	9.63266
0.0409948	12.2823	3.20164	11.6394	9.63249
0.0419948	12.2824	3.20176	11.6396	9.63232
0.0429948	12.2825	3.20188	11.6397	9.63214
0.0439948	12.2826	3.202	11.6399	9.63197
0.0449948	12.2826	3.20212	11.6401	9.6318
0.0459948	12.2827	3.20223	11.6402	9.63163
0.0469948	12.2828	3.20234	11.6404	9.63146
0.0479948	12.2828	3.20245	11.6406	9.63129
0.0489948	12.2829	3.20256	11.6408	9.63113
0.0499948	12.283	3.20266	11.6409	9.63096
0.0509948	12.2831	3.20276	11.6411	9.63079
0.0519948	12.2831	3.20286	11.6413	9.63062
0.0529948	12.2832	3.20295	11.6414	9.63046
0.0539948	12.2833	3.20305	11.6416	9.63029
0.0549948	12.2833	3.20314	11.6418	9.63012
0.0559948	12.2834	3.20323	11.6419	9.62996
0.0569948	12.2834	3.20331	11.6421	9.62979
0.0579948	12.2835	3.20339	11.6423	9.62963
0.0589948	12.2835	3.20347	11.6424	9.62946
0.0599948	12.2836	3.20355	11.6426	9.6293
0.0609948	12.2837	3.20362	11.6427	9.62914
0.0619948	12.2837	3.20369	11.6429	9.62897
0.0629948	12.2838	3.20376	11.6431	9.62881
0.0639948	12.2838	3.20383	11.6432	9.62865
0.0649948	12.2839	3.20389	11.6434	9.62849
0.0659948	12.2839	3.20395	11.6436	9.62832
0.0669948	12.284	3.20401	11.6437	9.62816
0.0679948	12.284	3.20407	11.6439	9.628
0.0689948	12.284	3.20412	11.644	9.62784
0.0699948	12.2841	3.20417	11.6442	9.62768
0.0709948	12.2841	3.20422	11.6444	9.62752
0.0719948	12.2842	3.20426	11.6445	9.62737
0.0729948	12.2842	3.20431	11.6447	9.62721
