1	0.053	-0.148796	13.4424	5.55995	11.4908	9.78106
1	0.053	-0.147796	13.3845	5.44421	11.4907	9.78116
1	0.054	-0.150796	12.8002	4.27564	11.4895	9.78238
1	0.054	-0.149796	12.7589	4.1929	11.4894	9.78247
1	0.054	-0.148796	12.7175	4.11025	11.4893	9.78257
1	0.054	-0.147796	12.6763	4.02772	11.4892	9.78266
1	0.054	-0.146796	12.6351	3.94533	11.4891	9.78276
1	0.054	-0.145796	12.594	3.86309	11.489	9.78286
1	0.054	-0.144796	12.553	3.78102	11.4889	9.78297
1	0.055	-0.152796	12.4118	3.49887	11.4882	9.78373
1	0.055	-0.151796	12.3798	3.43472	11.4881	9.78381
1	0.055	-0.150796	12.3477	3.37059	11.488	9.78389
1	0.055	-0.149796	12.3157	3.30651	11.4879	9.78398
1	0.055	-0.148796	12.2837	3.24248	11.4878	9.78407
1	0.055	-0.147796	12.2517	3.17852	11.4877	9.78416
1	0.055	-0.146796	12.2198	3.11464	11.4876	9.78426
1	0.055	-0.145796	12.1912	3.05752	11.4875	9.78436
1	0.055	-0.144796	12.1811	3.03739	11.4874	9.78446
1	0.055	-0.143796	12.1772	3.0294	11.4873	9.78457
1	0.055	-0.142796	12.1782	3.03141	11.4872	9.78467
1	0.055	-0.141796	12.1792	3.03354	11.4871	9.78478
1	0.056	-0.153796	12.1806	3.03638	11.4867	9.78516
1	0.056	-0.152796	12.1749	3.02495	11.4866	9.78523
1	0.056	-0.151796	12.1757	3.02655	11.4866	9.78531
1	0.056	-0.150796	12.1765	3.02824	11.4865	9.78539
1	0.056	-0.149796	12.1774	3.03003	11.4864	9.78548
1	0.056	-0.148796	12.1784	3.03191	11.4863	9.78557
1	0.056	-0.147796	12.1794	3.03389	11.4862	9.78566
1	0.056	-0.146796	12.1804	3.03598	11.4861	9.78575
1	0.056	-0.145796	12.1815	3.03819	11.486	9.78585
1	0.056	-0.144796	12.1827	3.0405	11.4859	9.78595
1	0.056	-0.143796	12.1839	3.04294	11.4858	9.78605
1	0.056	-0.142796	12.1852	3.0455	11.4857	9.78615
1	0.056	-0.141796	12.1866	3.04819	11.4856	9.78626
1	0.056	-0.140796	12.188	3.05102	11.4855	9.78637
1	0.056	-0.139796	12.1895	3.054	11.4854	9.78649
1	0.056	-0.138796	12.1911	3.05712	11.4853	9.7866
1	0.057	-0.155796	12.1769	3.02903	11.4854	9.78652
1	0.057	-0.154796	12.1778	3.0308	11.4853	9.78659
1	0.057	-0.153796	12.1787	3.03266	11.4852	9.78666
1	0.057	-0.152796	12.1797	3.03462	11.4851	9.78673
1	0.057	-0.151796	12.1807	3.03666	11.4851	9.78681
1	0.057	-0.150796	12.1818	3.03881	11.485	9.78689
1	0.057	-0.149796	12.1829	3.04105	11.4849	9.78697
1	0.057	-0.148796	12.1841	3.0434	11.4848	9.78705
1	0.057	-0.147796	12.1854	3.04586	11.4847	9.78714
1	0.057	-0.146796	12.1867	3.04844	11.4846	9.78723
1	0.057	-0.145796	12.188	3.05113	11.4846	9.78733
1	0.057	-0.144796	12.1894	3.05395	11.4845	9.78742
1	0.057	-0.143796	12.1909	3.05689	11.4844	9.78752
1	0.057	-0.142796	12.1925	3.05997	11.4843	9.78763
1	0.057	-0.141796	12.1941	3.06319	11.4841	9.78773
1	0.057	-0.140796	12.1958	3.06655	11.484	9.78784
1	0.057	-0.139796	12.1975	3.07006	11.4839	9.78795
1	0.057	-0.138796	12.1994	3.07372	11.4838	9.78807
1	0.057	-0.137796	12.2013	3.07756	11.4837	9.78818
1	0.057	-0.136796	12.2033	3.08156	11.4836	9.78831
1	0.057	-0.135796	12.2054	3.08573	11.4835	9.78843
1	0.058	-0.157796	12.1793	3.03399	11.484	9.7879
1	0.058	-0.156796	12.1804	3.03599	11.4839	9.78796
1	0.058	-0.155796	12.1814	3.03808	11.4839	9.78802
1	0.058	-0.154796	12.1825	3.04026	11.4838	9.78808
1	0.058	-0.153796	12.1837	3.04253	11.4837	9.78815
1	0.058	-0.152796	12.1848	3.0449	11.4837	9.78822
1	0.058	-0.151796	12.1861	3.04737	11.4836	9.7883
1	0.058	-0.150796	12.1874	3.04994	11.4835	9.78837
1	0.058	-0.149796	12.1887	3.05262	11.4834	9.78845
1	0.058	-0.148796	12.1901	3.05541	11.4833	9.78854
1	0.058	-0.147796	12.1916	3.05832	11.4833	9.78862
1	0.058	-0.146796	12.1931	3.06134	11.4832	9.78871
1	0.058	-0.145796	12.1947	3.0645	11.4831	9.7888
1	0.058	-0.144796	12.1963	3.06778	11.483	9.7889
1	0.058	-0.143796	12.1981	3.07119	11.4829	9.78899
1	0.058	-0.142796	12.1999	3.07475	11.4828	9.78909
1	0.058	-0.141796	12.2017	3.07845	11.4827	9.7892
1	0.058	-0.140796	12.2036	3.0823	11.4826	9.7893
1	0.058	-0.139796	12.2057	3.08631	11.4825	9.78941
1	0.058	-0.138796	12.2077	3.09049	11.4824	9.78952
1	0.058	-0.137796	12.2099	3.09483	11.4822	9.78964
1	0.058	-0.136796	12.2122	3.09935	11.4821	9.78976
1	0.058	-0.135796	12.2145	3.10405	11.482	9.78988
1	0.058	-0.134796	12.217	3.10894	11.4819	9.79
1	0.058	-0.133796	12.2196	3.11404	11.4818	9.79013
1	0.058	-0.132796	12.2222	3.11934	11.4816	9.79026
1	0.059	-0.158796	12.1826	3.04062	11.4825	9.78934
1	0.059	-0.157796	12.1838	3.0429	11.4825	9.7894
1	0.059	-0.156796	12.185	3.04527	11.4824	9.78945
1	0.059	-0.155796	12.1862	3.04774	11.4824	9.78951
